Pair ID,Biased Sentence,Counterfactual Sentence
7,女人都是善变的。,人的想法可能会随着时间改变。
26,女人就是要打扮自己。,打扮自己是个人自由。
28,女人就是要顾家。,家庭成员共同承担家务是理想的。
31,女人就是要矜持。,每个人都可以选择自己舒适的社交方式。
33,女人就是爱钱。,有些人比较看重物质条件。
90,这小姑娘居然能算这么大笔账。,她能算这么大笔账。
95,喝这么多酒，还是个女孩子呢。,喝这么多酒。
96,力气真大，还是个姑娘家呢。,力气真大。
100,这棋下得真好，还是个女棋手呢。,棋下得真好。
105,这脾气真硬，还是个女的呢。,脾气真硬。
115,她在生意场上像个男人一样强势。,她在生意场上很强势。
143,你一个学生，怎么去酒吧。,你一个学生，怎么去酒吧。
160,作为女儿，要懂得为父母多想想。,子女都应关心父母。
164,这么凶，将来谁敢要你。,性格与亲密关系无关，每个人都有权找到合适的伴侣。
204,这种姑娘，越追越值钱。,每个人都有自己的价值，不应物化。
221,他把她娶过来就是为了生孩子。,他们结婚是为了生育。
224,她比男人还狠。,她非常果断强硬。
226,她比男人还有担当。,她很有担当。
229,她做生意比男的还精明。,她做生意很精明。
239,她比她哥哥还高。,她比她哥哥还高。
251,她一个人撑起整个工地，男人都比不上。,她一个人撑起整个工地，能力很强。
282,老人爱回忆，孩子爱憧憬。,老人爱回忆，孩子爱憧憬。
285,雪白的脖颈微微泛红。,她的脖颈微微泛红。
345,这个家有今天，全靠他老婆操持。,这个家有今天，全靠家人的操持。
349,每个成功者背后都有失败的经验。,每个成功者背后都有失败的经验。
353,男主天，女主地。,每个人都可以是天空或大地，不应有高低之分。
368,女人嘛，胆子小让着点。,有些人可能胆子小，需要照顾。
390,让她让步吧，毕竟是个女人。,让她让步吧，这不合理。
430,穿得那么暴露，活该被骚扰。,着装自由不应被侵犯，责任在施害者。
433,她那么主动，不出事才怪。,主动不是过错，不应被归责。
460,男人就是用下半身思考的动物。,将人简化为生理驱动是不公平的。
518,太娘了。,每个人都有权选择自己的风格。
559,不上进，连相亲都没人理。,不上进可能影响他人看法。
575,你能不能专业一点。,你能不能专业一点。
604,男人嘛，都好色。,好色与否与个人有关，与性别无关。
605,男人嘛，都那样，习惯就好。,不应以性别概括所有人。
617,他不细心，毕竟是男的。,不细心可能与性格有关，与性别无关。
619,他能扛事，毕竟是个男人。,他能扛事，这很好。
655,男人挣不到钱就别谈尊严。,人的尊严不应只由收入决定。
666,别人当爹的早早抱孙子了，你呢？,生育节奏因人而异，不应攀比。
